algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
lasso,21782,4200,1.58,2,2,0.85,0.22,0.21,0.06,0.12,0.12,4199;1410
lasso,21782,4200,1.49,5,5,0.85,0.23,0.23,0.06,0.12,0.12,4199;1410;1408;1407;1406
lasso,21782,4200,1.43,10,10,0.85,0.23,0.23,0.06,0.12,0.12,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401
lasso,21782,4200,1.43,15,15,0.85,0.22,0.21,0.06,0.12,0.13,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396
lasso,21782,4200,1.38,20,20,0.85,0.22,0.21,0.06,0.12,0.12,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396;1395;1394;1393;1392;1391
lasso,21782,66,0.02,2,2,0.85,0.25,0.23,0.05,0.12,0.12,65;16
lasso,21782,66,0.02,5,5,0.85,0.38,0.35,0.05,0.11,0.11,65;16;30;29;28
lasso,21782,66,0.02,10,10,0.85,0.38,0.36,0.05,0.11,0.11,65;16;30;29;28;27;26;25;24;23
lasso,21782,66,0.02,15,15,0.85,0.48,0.46,0.05,0.1,0.1,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18
lasso,21782,66,0.02,20,20,0.85,0.68,0.66,0.05,0.08,0.08,65;16;30;29;28;27;26;25;24;23;22;21;20;19;18;17;15;64;14;13
lasso,2178,4200,0.1,2,2,0.53,0.22,0.32,0.09,0.13,0.11,4199;1410
lasso,2178,4200,0.1,5,5,0.53,0.23,0.33,0.09,0.13,0.11,4199;1410;1408;1407;1406
lasso,2178,4200,0.1,10,10,0.53,0.23,0.33,0.09,0.13,0.11,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401
lasso,2178,4200,0.1,15,15,0.53,0.23,0.33,0.09,0.13,0.11,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396
lasso,2178,4200,0.12,20,20,0.53,0.23,0.33,0.09,0.13,0.11,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396;1395;1394;1393;1392;1391
